;Tourist_Spot;Address;Zipcode;Lat;Long;Rating
65;Jacqueline Kennedy Onassis Reservoir;Bet 86th and 96th Sts Manhattan, NY 10024, Central Park;10024;;;
66;James A. Farley Post Office;421 Eighth Ave. Manhattan, NY 10001, Chelsea;10001;40.7513536;-73.9951255;3.3
67;Jane's Carousel;Dock Street Brooklyn, NY 11201, DUMBO;11201;40.7043802;-73.99239229999999;4.7
68;Jazz at Lincoln Center;Frederick P. Rose Hall, Broadway at 60th St. Manhattan, NY 10019, Upper West Side;10019;40.7687363;-73.982525;4.6
69;Jeffrey's Hook Lighthouse;Fort Washington Park Manhattan , NY 10033, Washington Heights/Inwood;10033;40.8502815;-73.9469788;4.7
70;Loeb Central Park Boathouse;Central Park, enter at Fifth Ave. & 72nd St. Manhattan, NY 10028, Central Park;10028;40.7752927;-73.96876929999999;4.4
71;Luna Park at Coney Island;1000 Surf Ave. Brooklyn, NY 11224, Coney Island;11224;40.5752568;-73.9785149;4.4
72;Macy's Herald Square;151 W. 34th St. Manhattan, NY 10001, Herald Square;10001;40.750831;-73.9890961;4.4
73;Madison Square Garden;2 Penn Plaza Manhattan, NY 10121, Midtown West;10121;40.7505045;-73.9934387;4.7
74;Mahayana Buddhist Temple;133 Canal St Manhattan, NY 10002, Chinatown;10002;40.71614030000001;-73.99541900000001;4.4
75;McCarren Park;Lorimer St. between Bayard St. and Driggs Ave. Brooklyn, NY, Williamsburg;11222;40.7210549;-73.95244;4.6
76;Museum at Eldridge Street Synagogue;12 Eldridge St. Manhattan, NY 10002, Lower East Side;10002;40.71475969999999;-73.993594;4.6
77;Museum Mile;Fifth Avenue Manhattan, NY, Upper East Side;10128;40.7794366;-73.963244;4.8
78;Museum of American Finance;48 Wall St. Manhattan, NY 10005, Lower Manhattan;10005;40.7073993;-74.0102088;4.5
79;Mystery Room NYC;365 Seventh Ave., fl. 2N Manhattan, NY 10001, Chelsea;10001;40.743339;-73.990338;4.7
80;National Geographic Encounter: Ocean Odyssey;226 W. 44th St. Manhattan, NY 10036., Times Square/Theatre District;10036;40.75773299999999;-73.98715969999999;4.2
81;National Parks of New York Harbor;Federal Hall National Memorial, 26 Wall St. Manhattan, NY 10005, Lower Manhattan;10005;40.7073034;-74.0102734;4.8
82;New York Botanical Garden;2900 Southern Blvd. Bronx, NY 10458, Bedford Park;10458;40.8614705;-73.8809242;4.7
83;New York City FC;Yankee Stadium, 1 E. 161st St. Bronx, NY 10451, South Bronx;10451;40.8296426;-73.9261745;4.6
84;New York Giants;MetLife Stadium East Rutherford, NJ 07073, Not in New York City;07073;40.8135064;-74.074457;4.5
85;New York Hall of Science;47-01 111th St. Queens, NY 11368, Corona;11368;40.7475733;-73.8519487;4.3
86;New York Knicks;Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West;10001;40.7505045;-73.9934387;4.7
87;New York Public Library, Stephen A. Schwarzman Building;Fifth Ave. & 42nd St. Manhattan, NY 10018, Midtown West;10018;40.75318230000001;-73.9822534;4.7
88;New York Rangers;Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West;10001;40.7505045;-73.9934387;4.7
89;New York Transit Museum;99 Schermerhorn St. Brooklyn, NY 11201, Brooklyn Heights;11201;40.6905696;-73.9900672;4.6
90;New York Wheel;7 Penn Plaza, ste. 1705 New York, NY 10001, Staten Island;10001;40.7501172;-73.9925793;0.0
91;New York Yankees;Yankee Stadium, 1 E. 161st St. Bronx, NY 10451, South Bronx;10451;40.8296426;-73.9261745;4.6
92;Official NYC Information Center at Macy's Herald Square;151 W. 34th St. Manhattan, NY 10011, Midtown West;10011;40.75073709999999;-73.98950669999999;4.0
93;Old Stone House;336 3rd St. Brooklyn, NY 11215, Park Slope;11215;40.6729574;-73.9846285;4.6
94;One World Observatory;One World Trade Center, 285 Fulton St. 45 fl. ste. F Manhattan, NY 10007, Lower Manhattan;10007;40.7130062;-74.013173;4.7
95;Parachute Jump;Boardwalk W. (bet. W. 16th and W. 19th Sts.) Brooklyn, NY 11224, Coney Island;11224;40.578853;-73.9864304;0.0
96;Paradise Theater;2403 Grand Concourse Bronx, NY 10468, Fordham;10468;40.8606657;-73.8984645;4.6
97;Pepsi-Cola Sign;30-99 48th AvenueNew York, NY 11101, Long Island City;11101;;;
98;Plymouth Church of the Pilgrims;75 Hicks St Brooklyn, NY 11201, Brooklyn Heights;11201;40.6993563;-73.9937889;3.7
99;Poe Park;Grand Concourse and East 192nd Street Bronx, NY 10458, Fordham;10458;40.8648137;-73.8945473;4.2
100;Prospect Park;95 Prospect Park West Brooklyn , NY 11215, Park Slope;11215;40.6670385;-73.9737845;4.3
101;Prospect Park Audubon Center;Prospect Park Brooklyn, NY 11225, Park Slope;11225;40.6608215;-73.9652444;4.7
102;Prospect Park Carousel;Enter the park at Willink entrance (intersection of Empire, Ocean and Flatbush Aves.) Brooklyn, NY 11210, Park Slope;11210;;;
103;Prospect Park Lake;Parkside and Ocean Avenues entrance Brooklyn, NY 11218, Park Slope;11218;40.6602037;-73.9689558;4.7
104;Prospect Park Litchfield Villa;95 Prospect Park West Brooklyn, NY 11215, Park Slope;11215;40.6669961;-73.97382859999999;4.4
105;Prospect Park Zoo;450 Flatbush Ave. Brooklyn, NY 11225, Crown Heights;11225;40.6642506;-73.9651138;4.4
106;Queens Museum;New York City Building, Flushing Meadows Corona Park Queens, NY 11368, Flushing;11368;40.745914;-73.8467247;4.4
107;Queens Zoo;53-51 111th St. Queens, NY 11368, Flushing;11368;40.7439678;-73.84924579999999;4.5
108;Queensboro Bridge;Ed Koch Queensboro Bridge, New York, NY 10044;10044;40.75673159999999;-73.9542239;4.5
109;Radio City Music Hall;1260 Sixth Ave. Manhattan, NY 10020, Midtown West;10020;40.75997599999999;-73.9799772;4.7
110;Resorts World Casino New York City;110-00 Rockaway Blvd. Queens, NY 11420, Jamaica;11420;40.6731042;-73.8326167;3.7
111;Ripley's Believe It or Not! Times Square;234 W. 42nd St. Manhattan, NY 10036, Times Square/Theatre District;10036;40.7565399;-73.98867709999999;4.1
112;Riverside Park;Riverside Drive to Hudson River 72nd St. to St Clair Pl. New York, NY 10115, Upper West Side;10115;40.8096051;-73.967289;4.6
113;Rockefeller Center;45 Rockefeller Plaza Manhattan, NY 10111, Midtown West;10111;40.7587402;-73.9786736;4.7
114;Roosevelt Island;591 Main St. Roosevelt Island, NY 10044, Roosevelt Island;10044;40.7629972;-73.9493952;4.5
115;Roundabout Theatre Company;231 W. 39th St., ste. 1200 New York, NY 10018, Midtown West;10018;40.7548855;-73.9896215;4.1
116;Sail the Park;Kerbs Memorial Boathouse in Central Park (off Fifth Ave. btw. 72nd–76th Sts.) Manhattan, NY 10021, Central Park;10021;40.7752927;-73.96876929999999;4.4
117;Schomburg Center for Research in Black Culture;515 Malcolm X Blvd. Manhattan, NY 10037, Harlem;10037;40.8149729;-73.9421892;4.6
